,neurons_CNN,neurons_dense,activation,learning_rate,optimizer,batch_size,dropout,rmse_mean,rmse_std,mae_mean,mae_std,wmape_mean,wmape_std,r2_mean,r2_std
0,15,55,relu,4e-05,<keras.optimizers.adam.Adam object at 0x000001C8F46B38E0>,44,0.11,30.156281536381606,4.43725965500618,19.51557737152561,1.3431589718881929,0.529387944016577,0.029737867149895222,0.35357893905148624,0.07665755528802375
1,6,13,relu,0.00011,<keras.optimizers.adam.Adam object at 0x000001C89E58A7C0>,23,0.68,33.235814873498114,3.9029196578340466,22.24423977269067,0.9885939979053499,0.6035305245815931,0.016586845106593893,0.2131946668215295,0.04928356050262852
2,79,77,relu,0.00078,<keras.optimizers.adam.Adam object at 0x000001C880092310>,14,0.59,30.739985111146627,4.661991789150351,19.777119292776568,1.584431174306274,0.5361689989422718,0.032284130118718835,0.3296728707999229,0.07565130382504244
3,13,19,relu,0.00072,<keras.optimizers.adam.Adam object at 0x000001C89F6BD0D0>,10,0.63,32.2643196389309,4.295901204264967,21.346345997480007,1.4841576550605027,0.5786954574924668,0.025397166290859547,0.26081765799998474,0.05419551524059171
4,8,92,relu,0.00063,<keras.optimizers.adam.Adam object at 0x000001C881ACBD60>,43,0.23,30.770618138712916,4.878809754317487,19.92419349204481,1.8487173757634179,0.5404120329802081,0.04440202064175357,0.32862781483297165,0.08456398990089944
5,27,59,relu,0.00058,<keras.optimizers.adam.Adam object at 0x000001C8819DFDF0>,5,0.45,31.116522692144237,4.788415586436682,20.155442251411138,1.9108060381699128,0.5461385166505555,0.03901069898482899,0.313800864600945,0.07640101833821561
6,79,61,relu,0.00013,<keras.optimizers.adam.Adam object at 0x000001C8A08CF1C0>,41,0.76,30.83740063302726,4.408143129714359,20.21473167433458,1.462728794359763,0.5480351504224366,0.026891694237922776,0.3256579560688687,0.058258949631065066
7,74,36,relu,0.00014,<keras.optimizers.adam.Adam object at 0x000001C8EBA778B0>,47,0.97,36.972214216294965,4.493362664998812,24.723347486312093,1.2949606730234975,0.6708314312419451,0.02724927060304428,0.028899246958677894,0.03757629527414069
8,89,88,relu,0.00068,<keras.optimizers.adam.Adam object at 0x000001C8F47421F0>,25,0.26,30.62580637245913,4.6291942936953445,19.529362363675062,1.6106960415806584,0.5294953590228657,0.03408524435278374,0.33476651501432003,0.0729793516067668
9,84,70,relu,0.00049,<keras.optimizers.adam.Adam object at 0x000001C8F39CA490>,41,0.76,31.02627754264867,4.615957208508623,20.582996077319375,1.3905469667481498,0.5580746311594609,0.024499660701886517,0.3169024558710955,0.07322176301378894
10,76,39,relu,0.00074,<keras.optimizers.adam.Adam object at 0x000001C8A0C2BA00>,22,0.81,31.906004392016246,4.570922242014431,21.08885107359855,1.6613212032478193,0.571645087615178,0.03167987600965119,0.27844449433181123,0.0604682497169849
11,9,91,relu,0.00096,<keras.optimizers.adam.Adam object at 0x000001C8A0AD81C0>,23,0.27,30.815141769241784,5.168992962171543,19.928896730398044,1.7085091685748988,0.5406737170024327,0.041732750554078685,0.32642731127608526,0.100533430428264
12,16,82,relu,8e-05,<keras.optimizers.adam.Adam object at 0x000001C8F4C0C6D0>,7,0.4,31.2393842013062,4.4758631181094515,19.8522592433917,1.611632965340811,0.537991552944441,0.029028833054535755,0.30722412371208035,0.06659222048862659
13,79,40,relu,2e-05,<keras.optimizers.adam.Adam object at 0x000001C8800B4C40>,33,0.45,31.049747196770596,4.817317121885777,20.234935970555725,1.4009235494968908,0.5486251754773969,0.025259233137103494,0.3151770060199522,0.08830453601652541
14,93,87,relu,0.00095,<keras.optimizers.adam.Adam object at 0x000001C8A079DF40>,7,0.39,30.929366700675963,4.581985554409103,19.925801343933433,1.8051665869874132,0.5399813257032184,0.03641177361641335,0.32043319445221263,0.07727864647873142
15,14,61,relu,0.00094,<keras.optimizers.adam.Adam object at 0x000001C8A15D73D0>,11,0.95,34.371746900291804,3.823260065135732,22.89116003474379,1.0757306187473104,0.6209959273231863,0.016125705134898267,0.1588534590371997,0.02150597952986559
16,43,97,relu,0.001,<keras.optimizers.adam.Adam object at 0x000001C8A1564FA0>,27,0.48,30.537334758694993,4.68187045039107,19.69339764873966,1.5487366911285276,0.5338658052395454,0.030360659639392704,0.33847301715635064,0.0768424286712682
17,11,18,relu,0.00082,<keras.optimizers.adam.Adam object at 0x000001C8A2321DF0>,13,0.61,31.943626957375226,4.213264378008705,20.955297689422284,1.4029991516444287,0.5682888951509101,0.02735379454757202,0.27543259741165166,0.048830234892717615
18,42,11,relu,0.00095,<keras.optimizers.adam.Adam object at 0x000001C8F816AD00>,37,0.69,33.17491130779853,4.072931633148055,22.224272952905668,1.1547075888258576,0.6028967645900081,0.02069667787409127,0.21733192557178965,0.04615742550367371
19,13,54,relu,0.00024,<keras.optimizers.adam.Adam object at 0x000001C8F4B21B20>,20,0.43,30.97158011045522,4.8769450894559006,20.123289861398582,1.380618330054611,0.5458780804538909,0.030422240484017034,0.31949548388034865,0.08702391568751912
20,61,51,relu,0.0001,<keras.optimizers.adam.Adam object at 0x000001C89F1B89D0>,29,0.95,34.64297632284161,4.382333834995028,23.005921751065973,1.3023432133821446,0.6239422114423226,0.02102515628949804,0.1474080374396452,0.04867216335084239
21,21,8,relu,0.00091,<keras.optimizers.adam.Adam object at 0x000001C8A1696E20>,48,0.94,37.20239621583723,4.0310222612987,25.014450530211132,0.7120108184381676,0.6790490520726609,0.017196152369397495,0.014178253475680492,0.01595550847206961
22,26,64,relu,0.00067,<keras.optimizers.adam.Adam object at 0x000001C8A15AE0D0>,28,0.38,30.543057747145554,4.835844828275118,19.788014406628076,1.4293876996048385,0.53666357588986,0.030067994708116167,0.3370920551732888,0.09120008612497713
23,20,32,relu,0.001,<keras.optimizers.adam.Adam object at 0x000001C8A238B8E0>,37,0.24,30.935619112570084,4.373700012578836,20.04103418354895,1.25431549391728,0.5436858118511878,0.02695205575962772,0.3200138067966818,0.06667662890008978
24,93,29,relu,3e-05,<keras.optimizers.adam.Adam object at 0x000001C89E571C40>,36,0.65,31.586278799140395,4.482611781284006,20.659250509115605,1.5150297706475797,0.56002887059676,0.027129702928462906,0.29196645390044595,0.06380312945613001
25,11,40,relu,0.00046,<keras.optimizers.adam.Adam object at 0x000001C8A18629D0>,36,0.53,30.784721613583013,4.590491275285888,20.264477772416633,1.3709434929667577,0.5497360739433598,0.030374851079934134,0.3276437452441324,0.07163434820059669
26,92,39,relu,0.00052,<keras.optimizers.adam.Adam object at 0x000001C8F4C1AA90>,21,0.1,30.842404541398302,4.779292783845396,19.70153685722476,1.6826155288030902,0.5343285522514565,0.038765706352286516,0.32478024931324,0.0834055020305117
27,67,71,relu,0.00024,<keras.optimizers.adam.Adam object at 0x000001C89F61A520>,37,0.97,35.52325158933253,4.798083707499667,23.698101928031523,1.4785837311150702,0.6427105037660985,0.02745559026408706,0.10511334242193013,0.05514572376861337
28,20,98,relu,0.0006,<keras.optimizers.adam.Adam object at 0x000001C89FA897F0>,49,0.16,30.458494534350933,4.752074967663319,19.62776152830498,1.7172615269892828,0.5320231194161129,0.035544676662642945,0.3415000263657264,0.08347633683549842
29,72,80,relu,0.00054,<keras.optimizers.adam.Adam object at 0x000001C89DFA8850>,43,0.45,30.78354102512239,4.738994818389028,19.79411084729862,1.7315386853327528,0.5364242472275699,0.03416069779171481,0.3288489574643268,0.07163953350037747
30,55,96,relu,0.0005,<keras.optimizers.adam.Adam object at 0x000001C881E3AE20>,12,0.7,31.346122375820578,4.836603986382817,20.19972609569824,1.5776488233285382,0.5478191619626183,0.03477959003561085,0.30439055903600887,0.07273232240955033
31,62,18,relu,0.00054,<keras.optimizers.adam.Adam object at 0x000001C89EE37F40>,38,0.23,30.97148660494389,4.52976440227137,20.107471937291766,1.4787114864364845,0.5451717559884687,0.02881008121018491,0.31817902627697825,0.07945124738972635
32,44,73,relu,0.00021,<keras.optimizers.adam.Adam object at 0x000001C880087C40>,16,0.19,30.944512011732634,4.74075406321956,19.636373622666774,1.529813166322636,0.5325018758825175,0.03285125129406996,0.31998703265273354,0.08321185173559835
33,45,61,relu,0.00099,<keras.optimizers.adam.Adam object at 0x000001C8A0C7BA00>,22,0.36,30.68834936082907,4.575912683170911,19.833334754183404,1.3751933159677445,0.5379178521927728,0.028813052079867674,0.3317596817693798,0.07218328738967182
34,90,34,relu,0.00048,<keras.optimizers.adam.Adam object at 0x000001C8F3C67EB0>,40,0.68,31.245786926074906,4.273895952096202,20.449395536831002,1.2920501438814318,0.5545637764669485,0.023477244785092166,0.3069319920430528,0.05491022758728377
35,34,56,relu,0.00097,<keras.optimizers.adam.Adam object at 0x000001C8A058E880>,30,0.33,30.826583796151606,4.650380105718405,19.762252981055017,1.3682900972246506,0.5363191189025084,0.03420409302916905,0.32533679731184,0.07820053922311301
36,61,12,relu,8e-05,<keras.optimizers.adam.Adam object at 0x000001C89E4A0190>,47,0.26,31.762373456816725,4.615101157643441,20.81797367404489,1.5489541846917256,0.5645243458367089,0.03231086450984096,0.28374493067801543,0.07632269425885535
37,49,52,relu,0.00091,<keras.optimizers.adam.Adam object at 0x000001C89F4CE730>,43,0.02,30.52808916326409,4.800653643949493,19.486279755791806,1.5127115843739127,0.5284546379487506,0.03300385177715952,0.33905303524631264,0.081597487336695
38,46,84,relu,0.00095,<keras.optimizers.adam.Adam object at 0x000001C8A0902790>,9,0.02,31.230151459419538,5.037337346163134,19.734515777989934,1.8218248089990272,0.5350080177103846,0.04026804726627612,0.3095487944908384,0.08369661736838493
39,56,64,relu,0.00073,<keras.optimizers.adam.Adam object at 0x000001C8A0739B80>,28,0.38,31.03177242589323,5.298503031526492,20.134583953938453,2.159713721733653,0.5453575715416267,0.0449587428147318,0.316406164437305,0.10866364655183303
40,25,41,relu,0.00034,<keras.optimizers.adam.Adam object at 0x000001C8A162D4F0>,30,0.26,30.650910447712583,4.5079086831148585,19.748352515307907,1.431395998277134,0.5356040921823192,0.03067450235199503,0.33268589235386414,0.07400248239661071
41,27,98,relu,0.00044,<keras.optimizers.adam.Adam object at 0x000001C8A0A56F40>,21,0.98,35.80841248405263,3.9896954047949276,23.910694840998435,0.9827387192765397,0.6487080396295054,0.011659064860494981,0.08699863647287154,0.028137691491426566
42,27,95,relu,0.00071,<keras.optimizers.adam.Adam object at 0x000001C89EF35A60>,42,0.34,31.016232881261192,4.80743822862437,19.874478431620627,1.7287463977650008,0.5386464296711726,0.03462726754738553,0.3171248838757371,0.08539609684749809
43,99,95,relu,0.00056,<keras.optimizers.adam.Adam object at 0x000001C89F247040>,12,0.14,31.078057553137874,5.3497134421411605,19.62303282544504,2.045664603356315,0.5320598445111845,0.048403875002687266,0.3162877907529699,0.10007631896900583
44,52,57,relu,1e-05,<keras.optimizers.adam.Adam object at 0x000001C8F43E42B0>,18,0.79,31.478079001844527,4.388424820386422,20.874980866753198,1.646749148942945,0.5659878187237792,0.03432617287280795,0.2966370890869932,0.0625783462129829
45,72,96,relu,0.00087,<keras.optimizers.adam.Adam object at 0x000001C89EDA8E80>,15,0.96,33.87266939364955,4.224519334576179,22.636328734291926,1.2659087522987649,0.6139807167180872,0.021797860794178132,0.18507513647163593,0.03675100028267981
46,80,38,relu,0.00043,<keras.optimizers.adam.Adam object at 0x000001C8F7E1CC40>,38,0.85,32.551412917674845,4.398072397640509,21.542828848471046,1.5389347075410649,0.5840151427697706,0.027204214996665067,0.24805861923104527,0.0560793457069624
47,61,67,relu,0.00026,<keras.optimizers.adam.Adam object at 0x000001C89DF8DA60>,49,0.1,30.6676756547281,4.963611766453473,19.4724389606052,1.8596739395098465,0.5279021663514275,0.04197660322005559,0.3334642492352879,0.0865836820358208
48,83,78,relu,0.0002,<keras.optimizers.adam.Adam object at 0x000001C8A04B2790>,19,0.4,30.972302613978837,4.772783217884598,19.771430268864226,1.545300765453024,0.536037421695483,0.031102373889306374,0.3186595291634223,0.08551877041042807
49,45,59,relu,0.00027,<keras.optimizers.adam.Adam object at 0x000001C89E5DD160>,11,0.64,31.31688389102687,4.874570401168877,20.351425618751374,1.6996284018399415,0.5516931873513771,0.034981849164623956,0.3033504890488737,0.09155975787651352
50,32,81,relu,0.00016,<keras.optimizers.adam.Adam object at 0x000001C8818B23D0>,6,0.88,32.04600680409801,4.163976123180523,21.063505100892257,1.4365790973342625,0.571035808765066,0.023816829808721882,0.2702587843832921,0.05239772967540088
51,12,42,relu,0.00067,<keras.optimizers.adam.Adam object at 0x000001C8F43AB8E0>,49,0.99,37.521283452234535,3.9228120506040463,25.149708140441795,0.8195623931257451,0.6826016729674913,0.01581013923821491,-0.0033669917271282658,0.004189255689089463
52,98,14,relu,0.00094,<keras.optimizers.adam.Adam object at 0x000001C8A0589940>,25,0.09,31.422177595064227,4.894054626665743,20.51478248951482,1.8026292384995009,0.5563730186369911,0.04218257286016589,0.2997091222545353,0.0859455775869945
53,47,35,relu,5e-05,<keras.optimizers.adam.Adam object at 0x000001C8A0A56160>,29,0.55,31.445472549747784,4.915880263403382,20.475854754603766,1.644024389373701,0.5551386877428535,0.03387108103699728,0.2984580681653222,0.08701013879743828
54,14,49,relu,6e-05,<keras.optimizers.adam.Adam object at 0x000001C89EDCC7F0>,35,0.01,30.743811737579712,5.107082671801381,19.767285058623045,1.8166536354307576,0.535943738424384,0.04091783463942977,0.32967330325717087,0.09700864952944567
55,42,30,relu,0.00039,<keras.optimizers.adam.Adam object at 0x000001C8A0585C10>,23,0.62,31.268109352949,4.578577290278584,20.408711486860035,1.5530297710816323,0.5532420696671366,0.029220216944184387,0.3072742350694708,0.062332687182966987
56,72,43,relu,0.00019,<keras.optimizers.adam.Adam object at 0x000001C8EBB24970>,44,0.08,30.893714449639752,4.270031204385635,19.74821130294426,1.4835066914009984,0.5354592459336099,0.029769335135250215,0.3216164625526857,0.06410246195114536
57,85,69,relu,0.00062,<keras.optimizers.adam.Adam object at 0x000001C8805B03A0>,38,0.72,31.119698665879714,4.914598639019737,20.22268975186192,1.7905200588203773,0.5480825719885443,0.03642483270700231,0.31383440621440484,0.0819786273355351
58,87,41,relu,0.00082,<keras.optimizers.adam.Adam object at 0x000001C8A0A6AE80>,18,0.55,31.210669167582942,4.365775708971755,20.17992315487145,1.4654456980246593,0.5469610088190252,0.023994295681905534,0.30848593873629887,0.06155563399991582
59,69,25,relu,0.00073,<keras.optimizers.adam.Adam object at 0x000001C8A09AADF0>,8,0.94,35.45894163052107,3.8850594457166174,23.646312714635936,0.9096850319261491,0.6417019647638174,0.016401095173824286,0.10473054377108038,0.011793485069178097
