,neurons_LSTM,neurons_dense,activation_dense,learning_rate,optimizer,batch_size,dropout,rmse_mean,rmse_std,mae_mean,mae_std,wmape_mean,wmape_std,r2_mean,r2_std
0,48,9,linear,0.00015,<keras.optimizers.adagrad.Adagrad object at 0x0000023A2C315340>,35,0.14,35.73664264860552,4.498852988596867,23.88597000826926,1.551212083771028,0.6494731063939762,0.03843439389454298,0.09230233938394164,0.04138310006525152
1,52,94,linear,0.00075,<keras.optimizers.adagrad.Adagrad object at 0x0000023A2E963730>,38,0.22,35.383917668849,4.6629011590391265,23.287014216016185,1.542645054698065,0.633419589689504,0.04198101228562828,0.11005477477240444,0.06240522793073343
2,76,18,linear,0.00076,<keras.optimizers.adagrad.Adagrad object at 0x0000023A2D31CBB0>,32,0.37,35.00003625985504,4.433267171935755,23.262212155398355,1.3651434302213639,0.6326984307368793,0.03635726836160772,0.12933107425035723,0.0421731471874113
3,92,11,linear,0.00021,<keras.optimizers.adagrad.Adagrad object at 0x0000023A29E4F460>,39,0.19,35.543256248469774,4.52337848375372,23.563735516593944,1.3555610787820616,0.6409326032164182,0.036660652596963404,0.1021442361111335,0.04516268139092941
4,6,97,linear,0.00012,<keras.optimizers.adagrad.Adagrad object at 0x0000023A30CAF790>,44,0.33,35.34306540134083,4.488197336962877,23.39341799387781,1.3499660607379267,0.6362246699702137,0.03564585815912847,0.11146522520299748,0.05987071669990939
5,16,84,linear,0.00051,<keras.optimizers.adagrad.Adagrad object at 0x0000023A10FCBC70>,20,0.88,35.680461426434036,4.160390498724388,23.969431291938644,1.4612153623905793,0.6514864416163367,0.03029193005877896,0.09382082224137005,0.026671512841310856
6,81,12,linear,0.00048,<keras.optimizers.adagrad.Adagrad object at 0x0000023A2DF5AA60>,12,0.47,35.39968249395527,4.738854539500392,23.69898929175755,1.6409421161114508,0.6443277076533682,0.040190331417156396,0.1105334682400996,0.05286380822653327
7,21,26,linear,0.00085,<keras.optimizers.adagrad.Adagrad object at 0x0000023A2F74FCD0>,36,0.71,35.09269627654811,4.431086886387851,23.24745661902722,1.529151627748258,0.6317693048241274,0.03167732571336652,0.12486609536351598,0.04213238950567429
8,99,99,linear,0.00095,<keras.optimizers.adagrad.Adagrad object at 0x0000023983C9B490>,47,0.52,35.18628381611994,4.358860358731658,23.232026451749242,1.4460725549376938,0.6318711958466519,0.038617527694724534,0.11968886021924116,0.037242682844413094
9,14,90,linear,0.00064,<keras.optimizers.adagrad.Adagrad object at 0x0000023A2CBA5B50>,8,0.02,36.60708885003096,4.424604263788715,24.442066474302315,1.73443975612829,0.6648365367312976,0.04751077951085849,0.04669346482669738,0.03802923058043447
10,9,31,linear,0.00082,<keras.optimizers.adagrad.Adagrad object at 0x00000239833058B0>,37,0.68,35.25266295608221,4.5282185497874385,23.35742007865435,1.486561460665422,0.6347039596538707,0.028478056774455016,0.11673234402393348,0.048639121059973214
11,31,74,linear,0.00088,<keras.optimizers.adagrad.Adagrad object at 0x0000023A29F56C40>,24,0.16,36.09786276762323,5.19408716221622,23.972993012385114,1.8513781679376184,0.6521962611890144,0.051772816938108014,0.07595363839265748,0.07489425924553565
12,83,84,linear,0.00066,<keras.optimizers.adagrad.Adagrad object at 0x0000023A2F61CE80>,45,0.25,35.68389116118546,4.304740079722483,23.73492704767716,1.5080510109717569,0.6456584101069949,0.04187180612810932,0.09369365287119916,0.04085370987091791
13,82,63,linear,0.00069,<keras.optimizers.adagrad.Adagrad object at 0x0000023A2EB8D9A0>,39,0.9,34.64829963298223,4.679957444309649,23.131777137280167,1.4380542647344419,0.6287487768935849,0.030943315502243177,0.14776437018517843,0.054343952919777755
14,68,90,linear,5e-05,<keras.optimizers.adagrad.Adagrad object at 0x0000023A2A85DB80>,5,0.59,35.99488300494776,4.681496887034406,24.3592416264517,1.7169035969304514,0.6627181301866696,0.04913317550732742,0.07922009655336586,0.05881905394949742
15,14,98,linear,0.00029,<keras.optimizers.adagrad.Adagrad object at 0x0000023A2BF693D0>,40,0.62,34.96134331464735,4.340513262960375,23.36249310962588,1.2934936752109825,0.6351702723356017,0.029087130852855428,0.13083729850444364,0.03844763009362013
16,96,11,linear,0.00043,<keras.optimizers.adagrad.Adagrad object at 0x0000023A044A2400>,12,0.83,35.4880858427673,4.355017195253542,23.696831668712477,1.3766814048792693,0.644027226108072,0.026193024192838876,0.1046015300428077,0.03416077967542761
17,40,70,linear,0.00022,<keras.optimizers.adagrad.Adagrad object at 0x0000023A3248A6D0>,47,0.59,35.213768038709524,4.172175653678453,23.350237520701928,1.3462294549052158,0.6348079058456724,0.030259778536683442,0.11777959524987809,0.024313030030947303
18,76,59,linear,0.00018,<keras.optimizers.adagrad.Adagrad object at 0x00000239DAA019D0>,10,0.12,35.70961176766163,4.337259210937969,23.89780890069446,1.3550116057488186,0.6499501436380882,0.035371694683405154,0.0926317658705184,0.04157089465902176
19,51,57,linear,0.00082,<keras.optimizers.adagrad.Adagrad object at 0x0000023A2A960370>,14,0.88,35.40361041639418,4.792282268838344,23.813277007685112,1.6834978133333518,0.6470569648030318,0.034770719090448314,0.1102690497191983,0.05744682383751824
20,55,62,linear,0.00037,<keras.optimizers.adagrad.Adagrad object at 0x0000023A11472970>,42,0.93,35.23756618792907,4.275637321394253,23.42517389269752,1.0768940799063027,0.6369284438728537,0.023141245525252763,0.11690956038487392,0.033788772150714755
21,90,94,linear,0.00029,<keras.optimizers.adagrad.Adagrad object at 0x0000023A114EC400>,8,0.73,35.7883448535069,4.769227858750735,23.967454311752842,1.8953757574727335,0.651551190137142,0.046593026260024234,0.09033629171267235,0.05634390216954928
22,90,39,linear,0.00086,<keras.optimizers.adagrad.Adagrad object at 0x0000023A0419BF10>,23,0.28,36.340027845340046,4.652888580581993,24.1976026871345,1.7060453399266249,0.6581228779599826,0.04553753164971753,0.061141444577184755,0.054208079703545284
23,5,36,linear,0.00098,<keras.optimizers.adagrad.Adagrad object at 0x0000023A2AD06E50>,34,0.62,35.76890837198098,4.503658960439087,23.769970680545548,1.4603120835948902,0.6462428458769542,0.03458036845388431,0.09044527487620398,0.052728732218828525
24,14,91,linear,0.00038,<keras.optimizers.adagrad.Adagrad object at 0x0000023A30230970>,6,0.78,35.58148068641269,4.989276744587225,23.87656681154981,1.9570999447800466,0.6492599652743232,0.0513519249894149,0.10188471392159706,0.06849468646303833
25,17,36,linear,0.00026,<keras.optimizers.adagrad.Adagrad object at 0x0000023A2BE91100>,38,0.54,35.563786665001295,4.622128846758684,23.594248379297873,1.4485789630719814,0.6414151703355426,0.03302769759270001,0.10177730289296665,0.04937055370495691
26,31,93,linear,0.00089,<keras.optimizers.adagrad.Adagrad object at 0x0000023A2E921100>,28,0.51,35.968514262727105,4.431409843737006,23.98699542051611,1.700011422696884,0.6522429342669345,0.04304146166110064,0.07979938948036484,0.041404086186957
27,66,52,linear,0.00045,<keras.optimizers.adagrad.Adagrad object at 0x0000023A168CB400>,5,0.81,35.36237622046907,4.769137951065477,23.499966546350386,1.7765138777283356,0.6387030356761382,0.040860986140848536,0.11219425809960634,0.05740398447249575
28,5,79,linear,0.00023,<keras.optimizers.adagrad.Adagrad object at 0x0000023A2B3F1BB0>,13,0.8,35.83955287548461,4.265405018308719,23.640473195011886,1.3001699826688198,0.6424664089357427,0.02245945957676117,0.0849807440991722,0.05618230368667968
29,95,27,linear,8e-05,<keras.optimizers.adagrad.Adagrad object at 0x0000023A2BC301C0>,21,0.93,35.41696757145483,4.262283488070947,23.770409759097628,1.39331922907697,0.6459627729138298,0.02496547575564023,0.10788027845519883,0.029939227120597753
30,41,87,linear,0.00024,<keras.optimizers.adagrad.Adagrad object at 0x0000023A117977C0>,13,0.41,35.92116659687679,4.422629352623601,23.859915801133315,1.647523059088929,0.6488510563201967,0.04293470177062866,0.08273377079028624,0.03428275995648183
31,82,55,linear,0.00025,<keras.optimizers.adagrad.Adagrad object at 0x00000239D0D696A0>,49,0.21,35.547031745359696,4.289220685536931,23.622415984835317,1.4219000026787934,0.6425004794162745,0.037735832737691544,0.10052358204396708,0.0421983090245654
32,93,75,linear,0.00097,<keras.optimizers.adagrad.Adagrad object at 0x0000023A2BAFAA90>,34,0.52,35.55329770935525,4.388963006228749,23.729638844493977,1.8144421950213805,0.6452290723690195,0.04622883393116245,0.10094765478689913,0.04101073841880308
33,25,47,linear,0.00052,<keras.optimizers.adagrad.Adagrad object at 0x0000023A2E7BBC70>,39,0.32,35.38406165601727,4.237994083311146,23.53986007544958,1.63455240797883,0.6397425901472084,0.03563584851096813,0.10941068086499077,0.02855933166140711
34,73,94,linear,0.00018,<keras.optimizers.adagrad.Adagrad object at 0x0000023A30F21700>,41,0.99,36.01172250930988,4.120089809176081,24.000311727667707,1.0632118353651547,0.652485265726213,0.019439359651442435,0.0767240440838464,0.018678856154103776
35,49,99,linear,0.00054,<keras.optimizers.adagrad.Adagrad object at 0x0000023A2C4A34C0>,47,0.97,35.262816708543625,4.227069915554364,23.59854178430481,1.1120682561813713,0.6415158172314259,0.02029992680873712,0.11539944468520072,0.030085487944506377
36,78,41,linear,0.00057,<keras.optimizers.adagrad.Adagrad object at 0x0000023A2F90DFD0>,23,0.8,35.047533499295476,4.355073538462017,23.378228382560614,1.7006665259133906,0.6351856797588965,0.03486250654763433,0.12695118012831005,0.03479902502019585
37,32,15,linear,0.0001,<keras.optimizers.adagrad.Adagrad object at 0x0000023A2F86F9A0>,13,0.97,36.41796906442974,4.134744796390754,24.41303052781344,1.164082149397126,0.6635866601753242,0.018918022768917485,0.05559953203890415,0.017312995438778254
38,23,8,linear,0.00039,<keras.optimizers.adagrad.Adagrad object at 0x0000023A2D4FC670>,45,0.81,35.73162973423707,4.546343718568592,24.030087874900495,1.4357460452746,0.6530196536157871,0.026553115736207295,0.09288956265752117,0.044629747551231704
39,56,26,linear,0.00089,<keras.optimizers.adagrad.Adagrad object at 0x0000023A30AA0370>,49,0.67,34.92826056731785,4.629236569578133,23.233230800916466,1.558435376255666,0.6315207529991421,0.035223340982811754,0.13386186590165827,0.04928743265644444
40,9,13,linear,0.00034,<keras.optimizers.adagrad.Adagrad object at 0x0000023A2EA321F0>,33,0.17,35.64150765296533,4.617779732674598,23.519291437926114,1.1982849704057528,0.6397864469748658,0.033627004719526364,0.09756331553271369,0.05106851262602509
41,99,93,linear,0.00075,<keras.optimizers.adagrad.Adagrad object at 0x0000023A2CADDC70>,44,0.12,35.954173636281006,4.845694839848919,24.073222722664458,1.9604712596474783,0.6543364436566219,0.04722912140986875,0.08263921296967776,0.054317163820272144
42,89,83,linear,0.0001,<keras.optimizers.adagrad.Adagrad object at 0x0000023A2FEF5370>,34,0.23,35.95005791492798,4.579982432161509,24.01061556376286,1.4447921845937084,0.6533945767345836,0.0437469407059231,0.08105340021153007,0.05302764189955655
43,8,61,linear,0.00081,<keras.optimizers.adagrad.Adagrad object at 0x0000023A2CF47A00>,27,0.57,35.04480519549529,4.479501458109391,23.20750250752767,1.4885853198307988,0.6312464348851822,0.04020142708113118,0.1271771627172176,0.04503593877686752
44,71,61,linear,0.0008,<keras.optimizers.adagrad.Adagrad object at 0x0000023A2CEEAF40>,22,0.4,35.7129442514079,4.615650114454998,23.487108137264173,1.7378800318052854,0.6385619314593606,0.043324438825670615,0.09420032320717667,0.04374912028780153
45,53,93,linear,0.00014,<keras.optimizers.adagrad.Adagrad object at 0x0000023A04A0B130>,14,0.98,35.5227777511093,4.27518268396985,23.78015279027889,1.4135507657723736,0.6462603327396514,0.02670482346387521,0.10245598204798245,0.032276858921397075
46,21,5,linear,0.00049,<keras.optimizers.adagrad.Adagrad object at 0x0000023A2C189430>,21,0.97,37.17619863354908,4.143785834950711,24.883610608968223,0.9811539937945827,0.676654531163269,0.020913959283517573,0.015520362088781292,0.013231327107930402
47,48,20,linear,0.00042,<keras.optimizers.adagrad.Adagrad object at 0x0000023A2C26FD30>,12,0.59,35.20635972015391,4.730568075559627,23.359925362522873,1.5023796351013965,0.6354414151604855,0.04178650436089799,0.12028873868938199,0.051819943879500556
48,32,36,linear,0.00049,<keras.optimizers.adagrad.Adagrad object at 0x0000023982D70430>,39,0.52,34.866158917466024,3.954560035086313,23.24297337832143,1.329090703840967,0.6318565125854182,0.029057499437374498,0.13410349488792633,0.023602848069089133
49,39,6,linear,0.00077,<keras.optimizers.adagrad.Adagrad object at 0x0000023A03F55EE0>,43,0.87,36.15568730063786,4.278050068491555,24.16204172173122,1.1155103563434714,0.6567878999421474,0.01810569326169763,0.06987404497828224,0.029286467237924555
50,79,53,linear,0.00085,<keras.optimizers.adagrad.Adagrad object at 0x0000023A2D3A4A30>,19,0.3,35.94436224262177,5.093796648611376,24.074388700126782,2.104497629953411,0.6549704987816619,0.05881227915814582,0.08298719994650616,0.07655581718016287
51,62,97,linear,0.00051,<keras.optimizers.adagrad.Adagrad object at 0x0000023983C6C820>,41,0.05,35.664111297712154,4.938336664915138,23.69837852590009,1.880892285502466,0.6448134258698186,0.053109217185275386,0.0965699920265971,0.07189165734054234
52,83,83,linear,0.00099,<keras.optimizers.adagrad.Adagrad object at 0x0000023A328AAE80>,38,0.57,35.44283554113833,4.726172051551739,23.626214750747785,1.8088875322844427,0.6426651377680798,0.0494924117230307,0.10762428151892234,0.05896257800678657
53,32,18,linear,0.00019,<keras.optimizers.adagrad.Adagrad object at 0x0000023A10A4FA90>,18,0.37,35.71994806336202,4.430346147285735,23.76833254103275,1.7898565312216232,0.6461559655306448,0.043809398115918226,0.09318029528880256,0.034442558141418306
54,13,35,linear,0.00077,<keras.optimizers.adagrad.Adagrad object at 0x0000023A11F862B0>,47,0.08,35.73637130829725,4.294267469962363,23.78409010073187,1.341831817916035,0.6469179066396586,0.036124791317997944,0.09103485600792323,0.04137521585953204
55,66,74,linear,0.00065,<keras.optimizers.adagrad.Adagrad object at 0x0000023A2F6DF1F0>,47,0.48,35.23683945505773,4.050215076853575,23.39256593375605,1.261187520747124,0.6360325398111863,0.02921586657869579,0.11602661779778209,0.02146235087426427
56,11,45,linear,0.00032,<keras.optimizers.adagrad.Adagrad object at 0x0000023A2BD8D910>,38,0.61,35.49740527235209,4.311546261287669,23.824934709980656,1.5436889414761437,0.6475866347533439,0.034093153352095,0.10375337349422753,0.036377808841020216
57,67,55,linear,0.00032,<keras.optimizers.adagrad.Adagrad object at 0x0000023A2C6DE2E0>,46,0.07,35.65409265412953,4.346958798287287,23.966335783635312,1.4435995675500826,0.6518702723166748,0.038732804780948746,0.09502076746433248,0.0480186701959598
58,13,76,linear,0.00096,<keras.optimizers.adagrad.Adagrad object at 0x0000023A2A958790>,41,0.4,35.66059701357172,4.17565731465378,23.586815900993606,1.2187530489322989,0.6416042221180297,0.03420181526019526,0.09432645326801121,0.04585470227414124
59,62,73,linear,0.00087,<keras.optimizers.adagrad.Adagrad object at 0x0000023A29109C10>,26,0.63,35.41011172474829,4.630936039316908,23.704458654395836,1.455118747204838,0.6448007021084506,0.03990586556076411,0.10890825544799321,0.05517180440910127
